,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,TUCSON MEDICAL CENTER,"Executive Team Tucson, Arizona (AZ), Tucson Medical Center",https://www.tmcaz.com/about-tmc/executive-team,"none found 
",Tucson Medical Center: A Community Hospital Aligning ...,https://www.commonwealthfund.org/sites/default/files/documents/___media_files_publications_case_study_2012_jan_1575_carluzzo_tucson_case_study_01_12_2012.pdf,"unusual behavior notice 
",TMC Health announces leadership changes,https://www.tmcaz.com/blogs/newsroom/tmc-health-announces-leadership-changes,"none found 
"
1,VERDE VALLEY MEDICAL CENTER,2022 COMMUNITY HEALTH NEEDS ASSESSMENT,https://www.nahealth.com/wp-content/uploads/2022/06/2022_prc_community_health_needs_assessment_report_-_verde_valley_medical_center.pdf,"none found 
",Rural Hospital Leadership Award - Winners | AHA,https://www.aha.org/2006-01-06-rural-hospital-leadership-award-winners,"none found 
",Verde Valley Medical Center | NAH,https://www.nahealth.com/physician-recruitment/verde-valley-medical-center/,"unusual behavior notice 
"
2,ST. MARY'S HOSPITAL,Leadership: Meet MedStar Health Leaders | MedStar Health,https://www.medstarhealth.org/about/medstar-health-leadership,"none found 
",Our Leaders | Essentia Health,https://www.essentiahealth.org/about/our-leaders,"Cathy Cantor MD, Chief Population Health Officer 
",St. Mary's County Health Department: Home,https://smchd.org/,"unusual behavior notice 
"
3,ST JOSEPH'S HOSPITAL,"Leadership | St. Joseph's Health Syracuse, New York (NY) Hospitals",https://www.sjhsyr.org/about-us/leadership,"Kristen M Mucitelli, VP Population Health Management 
","""Economic Development is Population Health"": A New Vision for ...",https://www.ruralhealthinfo.org/rural-monitor/economic-development,"none found 
","ROCHESTER, SYRACUSE HEALTH SYSTEMS FORM VENTURE ...",https://www.sjhsyr.org/newsroom/press-releases/rochester-syracuse-health-systems-form-venture-focus-population-health,"none found 
"
4,YAVAPAI REGIONAL MEDICAL CENTER,Yavapai Regional Medical Center 2023 Community Health ...,https://yrmc.org/docs/default-source/default-document-library/yrmc-2023-implementation-strategy.pdf?sfvrsn=1bb78b19_3,"none found 
",Our Leadership - Yuma Regional Medical Center,https://www.yumaregional.org/about-us/our-leadership/,"Dr. Robert “Bob” Trenschel, President & Chief Executive Officer 
","Anthony Torres, MD, to Serve as President and CEO of Dignity Health",https://www.yrmc.org/physiciancare-ponderosa/yrmc-news/2022/06/20/anthony-torres-md-to-serve-as-president-and-ceo-of-dignity-health-yavapai-regional-medical-center,"none found 
"
5,YUMA REGIONAL MEDICAL CENTER,Our Leadership - Yuma Regional Medical Center,https://www.yumaregional.org/about-us/our-leadership/,"Dr. Robert “Bob” Trenschel, President & Chief Executive Officer 
",Yuma Regional Medical Center | Arizona Western College,https://www.azwestern.edu/taxonomy/term/524,"unusual behavior notice 
",YRMC and AZHHA Advise Community on Rise in Respiratory ...,https://www.yumaregional.org/yrmc-and-azhha-advise-community-on-rise-in-respiratory-illnesses-and-emergency-department-wait-times/,"none found 
"
6,HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
",HonorHealth Careers,https://jobs.honorhealth.com/,"unusual behavior notice 
",HonorHealth John C. Lincoln Medical Center,https://www.honorhealth.com/locations/hospitals/john-c-lincoln-medical-center,"unusual behavior notice 
"
7,BANNER CASA GRANDE MEDICAL CENTER,Banner Health 2023 CHNA - Banner Casa Grande Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2023/banner-casa-grande-medical-center-casa-grande.ashx,"none found 
","Banner Health on LinkedIn: Peter S. Fine, who led Banner Health ...",https://www.linkedin.com/posts/banner-health_peter-s-fine-who-led-banner-health-through-activity-7183958810825293824-gOAL,"none found 
",2019 Community Health Needs Assessment,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2020/bcgmc-2020-chna-report.ashx,"none found 
"
8,VALLEYWISE HEALTH MEDICAL CENTER,Executive Team | Valleywise Health,https://valleywisehealth.org/about/executive-team/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,"Valleywise Health | Jobs in Phoenix, Arizona",https://jobs.valleywisehealth.org/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Valleywise Health: Comprehensive Healthcare Services in Arizona,https://valleywisehealth.org/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
9,FLAGSTAFF MEDICAL CENTER,Public Health AmeriCorps | AmeriCorps,https://americorps.gov/serve/americorps/americorps-state-national/public-health-americorps,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,2022 COMMUNITY HEALTH NEEDS ASSESSMENT,https://www.nahealth.com/wp-content/uploads/2022/06/2022_prc_community_health_needs_assessment_report_-_flagstaff_medical_center.pdf,"none found 
",About North Country HealthCare,https://northcountryhealthcare.org/about/leadership/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
10,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"Leadership | St. Joseph's Health Syracuse, New York (NY) Hospitals",https://www.sjhsyr.org/about-us/leadership,"Kristen M Mucitelli, VP Population Health Management 
","""Economic Development is Population Health"": A New Vision for ...",https://www.ruralhealthinfo.org/rural-monitor/economic-development,"none found 
",Executive Leadership | St. Joseph's Hospital & Medical Center ...,https://www.dignityhealth.org/arizona/locations/stjosephs/about-us/executive-leadership,"none found 
"
11,ABRAZO CENTRAL CAMPUS,Leadership Team | Abrazo Health,https://www.abrazohealth.com/about/leadership-team,"none found 
",Abrazo Health taps Worley and Pearson to lead Phoenix hospitals ...,https://arizonadigitalfreepress.com/abrazo-health-taps-2-to-lead-hospitals/,"none found 
",Abrazo Health Residency Programs,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs,"none found 
"
12,CHANDLER REGIONAL MEDICAL CENTER,Chandler Regional Medical Center,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/az-chandler-regionalreport19.pdf,"none found 
",Dr. Matthew Wilks Named Chief Medical Officer at UNM Sandoval ...,https://hsc.unm.edu/news/2021/03/matthew-wilks-chief-medical-officer.html,"Matthew Wilks, MD, Chief Medical Officer 
, 
College of Population Health 
",Chandler Regional Medical Center Community Health ...,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/2016-cr-implementation-strategy.pdf,"none found 
"
13,ST LUKE'S MEDICAL CENTER,"St. Luke's Leadership | Richard A. Anderson, President & CEO",https://www.slhn.org/about/leadership,"unusual behavior notice 
",Advocate Health names Executive Leadership Team Milwaukee ...,https://www.aurorahealthcare.org/news/advocate-health-names-executive-leadership-team,"Don Calcagno, MBA SVP, Chief Population Health Officer, Terry G. Williams, DrPH candidate, MBA SVP, Chief Population Health Officer 
",Executive Leadership Team at Allina Health,https://www.allinahealth.org/about-us/leadership,"Hsieng Su MD, Senior Vice President Chief Medical Executive 
Dominica Tallarico, Executive Vice President and Chief Operating Officer 
Elizabeth Truesdell Smith JD MPH, Senior Vice President General Counsel and Secretary to the Allina Health Board of Directors 
"
14,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
","VP Perioperative Services in SCOTTSDALE, Arizona | HonorHealth",https://jobs.honorhealth.com/jobs/71932?lang=en-us,"none found 
",HonorHealth Board of Directors | HonorHealth,https://www.honorhealth.com/company/board,"none found 
"
15,CANYON VISTA MEDICAL CENTER,"Pharmacy Residency Program | Sierra Vista, AZ",https://www.canyonvistamedicalcenter.com/pharmacy,"none found 
",Amy Heise - Canyon Vista Medical Center,https://www.linkedin.com/in/amy-heise-40b957180,"none found 
","Residency Programs | Sierra Vista, AZ",https://www.canyonvistamedicalcenter.com/residency-programs,"none found 
"
16,KINGMAN REGIONAL MEDICAL CENTER,KRMC Announces Additions to Leadership Team | KRMC | Kingman ...,https://www.azkrmc.com/newsroom/krmc-announces-additions-leadership-team,"unusual behavior notice 
",Michael A. Clark Named as Logan Regional Hospital CEO ...,https://news.intermountainhealth.org/michael-a-clark-named-as-logan-regional-hospital-ceoadministrator/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Program Opportunities | KRMC | Kingman Regional Medical Center,https://www.azkrmc.com/emergency-medicine-residency/program-opportunities,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
17,BANNER BOSWELL MEDICAL CENTER,Banner Health 2022 CHNA - Banner Boswell Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-boswell-medical-center-sun-city.ashx,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,177+ women hospital presidents and CEOs to know | 2023,https://www.beckershospitalreview.com/lists/177-women-hospital-presidents-and-ceos-to-know.html,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
18,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,Leadership Team At Summit Healthcare Show Low AZ,https://summithealthcare.net/about-summit-healthcare-2/summit-healthcare-leadership-team/,"none found 
",Executive Team | Summit Health,https://www.summithealth.com/executive-team,"unusual behavior notice 
",Adirondack Rural Health Network - AHI,https://ahihealth.org/arhn/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
19,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"Michael Kupferman, MD, MBA",https://www.bannerhealth.com/about/leadership/other-senior-leadership/michael-kupferman,"Michael Kupferman MD MBA, senior vice president of physician enterprise and president of Banner - University Medicine Division 
",College of Medicine - Tucson,https://medicine.arizona.edu/,"none found 
",Jacqueline Adams - Senior Director - Banner Health | LinkedIn,https://www.linkedin.com/in/jacqueline-adams-698260158,"none found 
"
20,BANNER DESERT MEDICAL CENTER,Banner Health 2022 CHNA - Banner Desert Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-desert-medical-center-and-banner-childrens-at-desert-mesa.ashx,"none found 
",Banner Health and UArizona College of Medicine – Phoenix Partner ...,https://phoenixmed.arizona.edu/news/gme-expansion,"unusual behavior notice 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
21,MT. GRAHAM REGIONAL MEDICAL CENTER,2023 Graham County Community Health Improvement Plan,https://www.graham.az.gov/DocumentCenter/View/9546/2023-Graham-County-Community-Health-Improvement-Plan-CHIP-Final-PDF,"none found 
",Arizona Critical Access Hospitals: Community Health Needs 2023,https://crh.arizona.edu/sites/default/files/2023-08/230803_CHNA_Brief.pdf,"none found 
",Patrick Peters - Genesis Health System,https://www.genesishealth.com/about/executives/patrick-peters/,"none found 
"
22,HAVASU REGIONAL MEDICAL CENTER,KRMC Announces Additions to Leadership Team | KRMC | Kingman ...,https://www.azkrmc.com/newsroom/krmc-announces-additions-leadership-team,"unusual behavior notice 
",AzHHA announces new slate for 2023 Board of Directors - Arizona ...,https://www.azhha.org/2023_board_of_directors,"unusual behavior notice 
",COMMUNITY HEALTH NEEDS ASSESSMENT 2019,https://www.azkrmc.com/sites/default/files/2019-07/PinnaclePrevention_MohaveCounty_Report_Rev_8-22-19.pdf,"none found 
"
23,FORT DEFIANCE INDIAN HOSPITAL,Public Health Nursing | Nahata'Dziil Health Center,https://www.fdihb.org/departments/public-health-nursing-nahatadziil,"none found 
",Association of Public Health Nurses,https://www.phnurse.org/,"unusual behavior notice 
",Navajo Area | Indian Health Service (IHS),https://www.ihs.gov/navajo/,"none found 
"
24,TUBA CITY REGIONAL HEALTH CARE CORPORATION,Navajo Area | Indian Health Service (IHS),https://www.ihs.gov/navajo/,"none found 
",ABRC 2022-2023: Supporting our Future | Center for Health Equity ...,https://nau.edu/cher/abrc-supporting-our-future/,"Noelle Veilleux, Population Health Dietician, Arizona Department of Health Services 
",IHS PGY-1 Pharmacy Residency Programs | Residency Program,https://www.ihs.gov/pharmacy/resident/residencies/,"LCDR Fiona Chao, PharmD, BCPS, Residency Program Director 
"
25,SELLS HOSPITAL,Sells Indian Hospital | Tribal Healthcare Facilities,https://www.ihs.gov/tucson/healthcarefacilities/sellshospital/,"none found 
","""Economic Development is Population Health"": A New Vision for ...",https://www.ruralhealthinfo.org/rural-monitor/economic-development,"none found 
",An up-and-coming executive role: chief population health officer ...,https://www.healthcarefinancenews.com/news/and-coming-executive-role-chief-population-health-officer,"none found 
"
26,SAN CARLOS APACHE HEALTHCARE,San Carlos Apache Healthcare,https://www.scahealth.org/,"none found 
",Protecting the San Carlos Apache Community During the Pandemic ...,https://www.ache.org/blog/2021/protecting-the-san-carlos-apache-community-during-the-pandemic,"none found 
",San Carlos Apache Health Care Receives Joint Commission ...,https://www.scahealth.org/san-carlos-apache-health-care-receives-joint-commission-approval/,"none found 
"
27,PHOENIX INDIAN MEDICAL CENTER,Phoenix Indian Medical Center (PIMC) | Healthcare Facilities,https://www.ihs.gov/phoenix/healthcarefacilities/phoenix/,"unusual behavior notice 
",Debra Ward Lund - Phoenix Indian Medical Center,https://www.linkedin.com/in/debra-ward-lund-5105658b,"none found 
",IHS Announces New CEO of the Phoenix Indian Medical Center ...,https://www.ihs.gov/newsroom/pressreleases/2021-press-releases/ihs-announces-new-ceo-of-the-phoenix-indian-medical-center/,"unusual behavior notice 
"
28,ABRAZO SCOTTSDALE CAMPUS,Leadership Team | Abrazo Health,https://www.abrazohealth.com/about/leadership-team,"none found 
",Improving Population Health | CommonSpirit Health,https://www.commonspirit.org/physician-enterprise/improving-population-health,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Abrazo Health Residency Programs,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
29,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Chinle Comprehensive Health Care Facility | Healthcare Facilities,https://www.ihs.gov/navajo/healthcarefacilities/chinle/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Global Health and Underserved Populations Track - Internal ...,https://residency.dom.pitt.edu/program/tracks/global-health/,"none found 
",Gallup Indian Medical Center | Healthcare Facilities,https://www.ihs.gov/navajo/healthcarefacilities/gallup/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
30,NORTHWEST MEDICAL CENTER,Leadership | UW Medicine,https://www.uwmedicine.org/about/leadership,"unusual behavior notice 
",Northwest Public Health & Primary Care Leadership Institute ...,https://www.nwcphp.org/training/northwest-public-health-leadership-institute,"unusual behavior notice 
",Management Team | LifeBridge Health,https://www.lifebridgehealth.org/about/management-team,"Sharon McClernan Vice President, Population Health 
"
31,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
",John Pope on LinkedIn: Happy Nurses Week to all nurses!! Here is a ...,https://www.linkedin.com/posts/john-pope-30ba4071_happy-nurses-week-to-all-nurses-here-is-activity-7062146454554869761-yZYy?trk=public_profile_like_view,"none found 
",2021 COMMUNITY HEALTH NEEDS ASSESSMENT,https://www.honorhealth.com/sites/default/files/2022-02/2021-CHNA-Report-HonorHealth-SSMC.pdf,"none found 
"
32,BANNER BAYWOOD MEDICAL CENTER,Banner Health 2022 CHNA - Banner Baywood Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022-new/arizona/banner-baywood-medical-center-mesa.ashx,"none found 
",The Leadership Council | Center | AHA,https://www.aha.org/center/leadership-council,"unusual behavior notice 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
33,BANNER THUNDERBIRD MEDICAL CENTER,Banner Thunderbird Medical Center in Glendale | Thunderbird & 55th,https://www.bannerhealth.com/locations/glendale/banner-thunderbird-medical-center,"unusual behavior notice 
",Dr. Matthew Wilks Named Chief Medical Officer at UNM Sandoval ...,https://hsc.unm.edu/news/2021/03/matthew-wilks-chief-medical-officer.html,"College of Population Health 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
34,HONORHEALTH DEER VALLEY MEDICAL CENTER,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
",HonorHealth Careers,https://jobs.honorhealth.com/,"unusual behavior notice 
",Contact us - Main contact numbers - HonorHealth,https://www.honorhealth.com/contact-us,"none found 
"
35,BANNER DEL E. WEBB MEDICAL CENTER,Banner Health 2022 CHNA - Banner Del E. Webb Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-del-e-webb-medical-center-sun-city-west.ashx,"none found 
",Michael Kupferman on LinkedIn: #bannerstrong ...,https://www.linkedin.com/posts/mekupferman_bannerstrong-nationaldoctorsday-leadership-activity-7047316682528227330-ZXLE,"none found 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
36,ABRAZO ARROWHEAD CAMPUS,Leadership Team | Abrazo Health,https://www.abrazohealth.com/about/leadership-team,"none found 
","Group Chief Nursing Officer, Arizona - Abrazo Arrowhead Campus ...",https://jobs.tenethealth.com/job/glendale/group-chief-nursing-officer-arizona-abrazo-arrowhead-campus-phoenix-arizona/1127/67210360144,"unusual behavior notice 
",Abrazo Health Residency Programs,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs,"none found 
"
37,WESTERN ARIZONA REGIONAL MEDICAL CENTER,Western Region Public Health Training Center: Home,https://wrphtc.arizona.edu/,"none found 
",Our Leadership - Yuma Regional Medical Center,https://www.yumaregional.org/about-us/our-leadership/,"Dr. Robert “Bob” Trenschel, President & Chief Executive Officer 
",Yuma Regional Medical Center | Arizona Western College,https://www.azwestern.edu/taxonomy/term/524,"none found 
"
38,MAYO CLINIC HOSPITAL,About Us - Mayo Clinic,https://www.mayoclinic.org/about-mayo-clinic,"unusual behavior notice 
",Meet our administrative leaders - Mayo Clinic Health System,https://www.mayoclinichealthsystem.org/about-us/leadership,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Mayo Clinic Leadership - About Us - Mayo Clinic,https://www.mayoclinic.org/about-mayo-clinic/governance/leadership,"none found 
"
39,BANNER HEART HOSPITAL,Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
",The Leadership Council | Center | AHA,https://www.aha.org/center/leadership-council,"none found 
","Michael Kupferman, MD, MBA",https://www.bannerhealth.com/about/leadership/other-senior-leadership/michael-kupferman,"Michael Kupferman MD MBA, senior vice president of physician enterprise and president of Banner - University Medicine Division 
"
40,ARIZONA SPINE AND JOINT HOSPITAL,Arizona Specialty Hospital Arizona Spine and Joint Hospital East ...,https://www.dignityhealthevrehabchandler.com/docs/librariesprovider18/default-document-library/final-dhjv_chis-2022.pdf,"none found 
",Sitemap,https://www.trinity-health.org/sitemap.aspx,"none found 
",Maryann Fields - Health Care Executive - Operational Enhancement ...,https://www.linkedin.com/in/maryann-fields-743922ba,"none found 
"
41,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",The CORE Institute Hospital,https://thecoreinstitutehospital.com/,"none found 
",Duke Department of Population Health Sciences,https://populationhealth.duke.edu/,"none found 
",News Archives - The CORE Institute Hospital,https://thecoreinstitutehospital.com/category/news/,"unusual behavior notice 
"
42,ABRAZO WEST CAMPUS,Leadership Team | Abrazo Health,https://www.abrazohealth.com/about/leadership-team,"none found 
",Leadership - Olathe Health,https://www.olathehealth.org/patients-and-visitors/about-us/leadership/,"none found 
",Abrazo Health Residency Programs,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs,"none found 
"
43,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,Banner University Medicine Begins New Era in Academic Medicine ...,https://phoenixmed.arizona.edu/about/news/banner-university-medicine-begins-new-era-academic-medicine,"unusual behavior notice 
",Morehouse School of Medicine - MSM - Atlanta,https://www.msm.edu/,"unusual behavior notice 
",Family Medicine Residency – Phoenix | The University of Arizona ...,https://phoenixmed.arizona.edu/family-medicine-residency/who-we-are/faculty,"Sarah Thomas, MD, Clinician Educator 
"
44,ARIZONA SPECIALTY HOSPITAL,Executive Leadership | Arizona Hospitals | Dignity Health | Dignity ...,https://www.dignityhealth.org/arizona/about-us/executive-leadership,"none found 
",Rural Health Care Leadership Conference | AHA | AHA Rural ...,https://ruralconference.aha.org/,"none found 
",UnityPoint Health Leadership,https://www.unitypoint.org/about-unitypoint-health/our-organization/leadership,"Scott Kizer, President & CEO 
"
45,WHITERIVER PHS INDIAN HOSPITAL,Whiteriver Indian Hospital | Healthcare Facilities,https://www.ihs.gov/phoenix/healthcarefacilities/whiteriver/,"none found 
","Alumni Spotlight: LCDR Tabitha Dillinger, MS Pharmacy Leadership ...",https://online.uc.edu/blog/alumni-spotlight-lcdr-tabitha-dillinger-ms-pharmacy-leadership-graduate/,"unusual behavior notice 
",IHS PGY-1 Pharmacy Residency Programs | Residency Program,https://www.ihs.gov/pharmacy/resident/residencies/,"none found 
"
